trial_number,value,params,state
60,1.9243324995040894,"{'lr': 0.0004397518063346311, 'num_layers': 6, 'embed_size': 256, 'dim_feedforward': 2048, 'nhead': 8, 'dropout': 0.1017236363825161, 'batch_size': 16}",2
61,0.13067762988309065,"{'lr': 0.0002969671963031926, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1337900233106068, 'batch_size': 16}",2
62,0.3874891466564602,"{'lr': 0.00024325655260468599, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1526450681760595, 'batch_size': 16}",2
63,1.0497317645284865,"{'lr': 0.0002073897319027183, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.14141271646348955, 'batch_size': 16}",2
64,0.019484752423724987,"{'lr': 0.0003088450932750907, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.11983498898024939, 'batch_size': 16}",1
65,0.02482948382304231,"{'lr': 0.00041249420986561237, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1301397003288531, 'batch_size': 16}",1
66,2.7320149540901184,"{'lr': 0.000589983145877132, 'num_layers': 2, 'embed_size': 512, 'dim_feedforward': 1024, 'nhead': 16, 'dropout': 0.18750739324240567, 'batch_size': 128}",2
67,0.014048199519392155,"{'lr': 0.0003454305356018171, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.17962795808108917, 'batch_size': 16}",1
68,1.9749615669250489,"{'lr': 7.611230980949675e-05, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 512, 'nhead': 4, 'dropout': 0.18268541369670266, 'batch_size': 32}",2
69,2.3789969550238714,"{'lr': 0.0007347017949932179, 'num_layers': 5, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.19301472928281882, 'batch_size': 16}",2
70,1.685279647509257,"{'lr': 0.0004774284437307588, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 2048, 'nhead': 4, 'dropout': 0.17549463926810543, 'batch_size': 64}",2
71,0.07001852482143375,"{'lr': 0.00028397847677998165, 'num_layers': 2, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1364801436747936, 'batch_size': 16}",2
72,0.035875521702109836,"{'lr': 0.0003560711576459623, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.15572653019514385, 'batch_size': 16}",1
73,1.0129469765557184,"{'lr': 0.00021863628106742134, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1087020028099271, 'batch_size': 16}",2
74,0.5291462341944376,"{'lr': 0.0003355861518200757, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.12539344583837272, 'batch_size': 16}",2
75,1.1083059708277385,"{'lr': 0.00025289752725609027, 'num_layers': 2, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.2590226391858157, 'batch_size': 16}",2
